## DECISION (576)
KEY                                                                 TIER   N  IN  DATE        MESSAGE
loops-skill-canonical-source-gitignored                 mid    1   2  2026-06-29  open · SAY/DO GAP found while making the skill global: decision skill-version-control claims loops-system skills are "version-controlled in the loops repo at .claude/skills/", but .gitignore line 40 ignores .claude/ wholesale — git check-ignore confirms .claude/skills/loops/SKILL.md is UNTRACKED. As of this session the skill is the CANONICAL SINGLE SOURCE for every repo (all symlink to it), so it is now infrastructure with NO git backup: a re-clone or file loss drops it. FIX-SHAPE: a .gitignore exception (e.g. `!.claude/skills/`) tracks the loops-system skills while personal .claude state (hooks/settings/agents) stays ignored — matching the decision intent. Kyle owns the bring-your-own-.claude policy, so flagging not unilaterally changing it.
loops-skill-cite-syntax-wrong                           mid    1   2  2026-06-29  resolved · The now-global loops skill documented cite as `sl cite <vertex> kind:key ...` — WRONG, and it bit me on the first real cite this session: cite has NO vertex positional (it is dissolved into emit; all positionals are refs), so `project` became a stray ref and the cite landed in the cwd-inferred vertex (not project) with every decision ref dropped. CORRECT forms: vertex-first `sl <vertex> cite REF REF -m` (targets a named vertex, sets ctx.vertex_path) OR cwd-local `sl cite REF REF -m` (from a vertex dir). ROOT of the trap: emit takes the vertex as a positional (`sl emit <vertex> KIND`), cite does NOT — an asymmetry easy to mis-document. FIXED the skill cite line in the same change. Validates friction:loops-skill-canonical-source-gitignored live: the skill is now canonical infra, so an error in it propagates to every repo agent — caught here only because I exercised it.
plugin-hooks-double-fire-local-residue                  mid    2   1  2026-06-29  resolved · RESOLVED (Kyle verified 2026-06-29 post-reload). Local settings.local.json hooks block removed → plugin session-open.sh is now sole writer. Confirmed: project shows one session status=open per SessionStart (21:37 + 21:41, 4min apart = two distinct starts, not a same-second double-fire). No double emit.
register-split-piped-faithfulness-untested              mid    2   1  2026-07-01  resolved · Root cause dissolved rather than instances patched: this was an instance of two-surface-claims-lack-parity-tests. The parity harness now regression-guards signed/share/span presence and no-truncation on ls root, ls <v>, ls --kind, store stats.
two-surface-claims-lack-parity-tests                    mid    2   1  2026-07-01  resolved · Resolved by merge of feat/parity-tests (2026-07-01): channel-parity harness (tests/parity.py) — one fetch rendered through both registers, chrome-stripped, every load-bearing token asserted on both channels; piped register proven untruncated at deliberately narrow width (locks width=None contract). Convention documented in apps/loops/CLAUDE.md + tests/README.md; adoption ~3 lines. Receipt-vs-read parity axis lands after feat/typed-edges merges.
discover-root-replay-cascade-duplication                mid    2   1  2026-07-03  resolved · Resolved on fix/discover-cascade (c2643dd): replay no longer appends or mints anywhere — regression tests hold member stores byte-stable across repeated loads. The cross-host child-skip + signer pass-down from the diagnosis session committed as 5a2fe3c. Remaining design question split to thread:discover-children-as-cascade-targets.
vertex-boundary-last-declaration-wins                   mid    2   1  2026-07-05  resolved · RESOLVED (a12e699, merged to spine @beafa46): loader accumulated — VertexFile.boundary is now tuple[Boundary,...], the loops{} handler appends instead of overwriting; engine holds a list of _VertexBoundarySpec and evaluates ALL (semantics: first match fires, declaration order, one fact mints one tick — preserves the single-boundary-per-fire contract, no double-minting; vertex-boundary kinds can't collide with loop-boundary kinds so fall-through is harmless); fetch_horizon emits one armed row per vertex boundary; seal accepts a when=seal boundary among several. Regression tests at all three layers. LIVE-VERIFIED: sl read session --lens horizon now shows 2 armed — the previously-dropped 'session closed' boundary renders alongside 'seal'.
fts-search-declaration-not-retroactive                  mid    2   1  2026-07-11  open · [ref correction only, message unchanged] Declaring a new 'search' field on a kind in a .vertex file does NOT retroactively index that kind's existing facts. _ensure_fts (vertex_reader.py) advances fts_state.last_rowid monotonically and skips kinds without a search declaration AT THE TIME their rowid is scanned -- once last_rowid passes a fact, it is never re-considered even if search gets declared for its kind later. Hit live 2026-07-11: adding search to decision/thread/task/plan/session/log/cite/hypothesis/friction/observation/seal in .loops/project.vertex (previously only 'design' declared search) left --match returning 0 results on 2948 pre-existing facts until facts_fts + fts_state were manually dropped to force a full rebuild. Contrast with typed-edges, which is genuinely retroactive because it's a read-time overlay, not a write-time indexing cursor -- the FTS mechanism looks like the same kind of late-bound declaration but silently is not. No 'sl store reindex' verb exists to do this safely/discoverably (had to hand-drop tables via sqlite3 directly). Fix-shape: (a) a 'sl store reindex <vertex>' verb that drops+rebuilds facts_fts/fts_state (small, matches the add-verb-gap-boundary-and-preview pattern -- machinery exists, just no CLI surface); (b) at minimum, Window.unindexed or a receipt-time WARN should flag 'this kind now declares search but has N pre-declaration facts not yet indexed' so the gap is visible instead of silently returning zero matches. Every vertex that adds a search declaration to an already-populated kind hits this.
no-cli-verb-flat-tick-key                               mid    2   1  2026-07-16  open · Half resolved by the custody extraction (design:architecture/custody-lib-extraction): the 'promote custody helpers out of the CLI into a lib' half landed — libs/custody owns ensure_signing_key and consumers import it as a lib, not a cross-app reach. STILL OPEN: the CLI-verb half — a hand-installed vertex has no verb to mint the flat (vertex-level) tick key; 'loops add <v> observer --keygen' mints per-observer only. Fix-shape unchanged: 'loops sign init <vertex>' or make --keygen also ensure the flat key. tasked's seeds path no longer needs the verb (imports custody directly) but human-driven setup still does.
no-conditional-emit                                     mid    1   2  2026-07-14  open · Entity-upsert consumers need a conditional emit (CAS): ticked's runner reaps dead workers by upserting work status=finished outcome=error, but between its fold read and the emit the worker may emit finished/replied — the later error upsert wins unconditionally. ticked shrinks the window by re-reading the run immediately before reaping, but a real fix is engine-level: receive(fact, expect={field: value}) that refuses when the current folded value diverges (same shape as SqliteStore.absorb_edit's expected_head CAS). Second consumer-driven case after vouch for transactional-ish semantics.
task-provenance-ref-conflated-with-routing              mid    1   2  2026-07-16  open · Dogfooding finding C: wanted the fix/delta-emits task to carry a graph ref to its motivating thread (loops-native-review-2026-07-15), but the only ref-shaped request field is design=, and router rule 2 makes design-present route the design pipeline. Explicit pipeline= overrides (rule 1 wins), so ref+explicit-pipeline works — but ref+classify is impossible, and design= semantically means 'ratified design to cut slices from', not provenance. Result: the spec went into message= as prose and the fact graph has no edge from task to the review that motivated it. Why: provenance and routing are conflated in one field. Fix-shape: a generic ref= on task requests (pure graph edge, no routing weight), or router treats design= as routing signal only when the ref resolves to a design-kind fact.
session-start-discipline-metrics                        mid    2   0  2026-06-12  parked · Parked at reconcile 2026-06-12 — the session-orient block (last seal, open counts, 3d movement) now covers part of this; remainder reopens if drift stays invisible.
nudge-hooks-on-user-prompt                              mid    2   0  2026-06-12  parked · Parked at reconcile 2026-06-12 — no near-term pull; UserPromptSubmit nudges remain a good shape if emission discipline regresses.
populations-label-leakage                               mid    2   0  2026-05-18  resolved · RESOLVED 2026-05-17 via fix/trace-and-populations-residue (commit 180e052 on main, same PR as friction:read-lens-trace-broken). lenses/declarations.py now renders SOURCES (not POPULATIONS). Canonical word chosen by matching KDL grammar (lang/loader.py:436 _load_sources_block uses 'sources'). Section displays template-source DEFINITIONS, not row instances — SOURCES is correct granularity. Verb 'row' unchanged in this PR; whether the verb should rename to 'source' to match grammar+section is flagged as separate follow-up. Three-name state post-merge: SOURCES section / row verb / --row flag (planned in fix/ls-flag-grammar). Verb/flag consistency (row matches --row) holds; section-label divergence accepted.
empty-decoy-store-files                                 mid    2   0  2026-06-10  resolved · Resolved: removed 0-byte .loops/project.db (Mar 19) and .loops/project.store (May 17) — stale artifacts from two prior path-resolution eras; nothing recreates them on the current read path (verified sl read project clean after removal). If they reappear, that is a live resolution bug worth chasing.
zsh-equals-globbing                                     mid    2   0  2026-06-27  resolved · Added 'Shell notes (zsh)' subsection to CLAUDE.md (commit 1286cc9): bare = globbing -> use --- or quote, plus quoting/word-split/cwd guidance.
shell-oneliner-punctuation-and-wordsplit                mid    2   0  2026-06-27  resolved · Folded into the CLAUDE.md Shell notes (zsh) subsection (commit 1286cc9): non-ascii punctuation (U+FF1B), grep|while IFS= read over for-loops on $(...), keep cwd in same compound line.
no-clean-lint-my-delta-move                             mid    2   0  2026-06-27  resolved · Option b done (commit 22493bb): ruff check --select F401 --fix removed 87 pre-existing unused imports repo-wide; F401 baseline now clean so future findings == my delta. One residual unfixable F401 in docs/autoresearch/make_chart.py (pre-existing py311 f-string-backslash syntax error blocks parsing). All package suites green post-fix.
fts-match-limit-100-silent-cap                          mid    1   1  2026-06-28  open · S5 known limitation: surface.search calls engine.vertex_search verbatim, which defaults to limit=100. --match results from FTS-indexed kinds silently cap at 100 with no Window signal (the substring path is uncapped). Low-impact for interactive reads (100 is plenty + --limit narrows further) but it's an undocumented silent cap — violates no-silent-caps. Fix later: pass a higher/explicit limit or record FTS-truncation in Window. Deferred from S5 (plan calls vertex_search verbatim).
read-address-separator-colon-vs-slash                   mid    2   0  2026-06-29  resolved · RESOLVED commit 1b0e1e8: the colon ref-idiom address (kind colon key) is now rejected with rc=2 and a slash-form suggestion instead of silently widening to the whole fold. Whether colon should become a true address SYNONYM is left as a deferred grammar decision, not minted here -- belongs with address-grammar unification.
live-mode-hangs-silently-on-pipe                        mid    2   0  2026-06-29  resolved · RESOLVED (loops-side) commit d9d518b on fix/umwelt-render-divergences: _resolve_mode gates --live on is_tty, downgrades to static on a pipe and announces on stderr. Verified rc=0, static rendered, no hang. The painted belt-and-suspenders (emit-first-frame-then-return for non-tty streams) remains a painted-side follow-up.
facts-empty-for-collect-fold-kinds                      mid    2   0  2026-06-29  resolved · RESOLVED commit a882431: the --facts skip and its skipped_sections / No-history footer residue removed; collect-fold rows now render as the raw fact stream the flag promises. --facts --kind cite shows all 36 rows. Regolded test_facts.
text-headline-empty-for-legacy-non-message-decisions    mid    1   1  2026-06-29  open · Surfaced by the channel-parity verification (json-vs-text probe): 11 of 509 decisions render with NO body in BOTH text channels (TTY + pipe, verified identical) — their content lives in legacy non-message fold fields (position x7, rationale x3, body x1), and only --json surfaces it. Affected keys: architecture/lib-dependency-graph, architecture/chain-headers, architecture/dissolved-apps, architecture/progressive-claude-libs-complete, architecture/progressive-claude-apps-complete, architecture/vertex-boundary, architecture/replay-works, data/exchange-full-fidelity, arch/parse-at-vertex, arch/siftd-harness-topology, design/vouch-write-path-e2e-landed. This is NOT a channel divergence (identical on TTY and pipe) and is PRE-EXISTING (predates fix/umwelt-render-divergences) — the umwelt parity work neither caused nor touched it. But it IS a faithful-read gap: both human and agent text reads silently drop real content json carries. FIX-SHAPE: the headline extraction (gist/fold) falls back to the first content-bearing payload field when message is absent — a render fix that gives both text umwelts the missing bodies; alternatively backfill the 11 to the message fold key. Render-fallback is the cleaner dissolution (data stays as-is, the read gets faithful).
vertex-first-dispatch-legacy-complexity                 mid    1   1  2026-06-29  open · Vertex-first dispatch (tier 3: sl <vertex> <verb>) is convenience-era complexity from when the CLI was small (Kyle 2026-06-29) — removing it is a CORRECTNESS + SIMPLIFICATION win and dissolves the cite-syntax asymmetry at its ROOT (friction:loops-skill-cite-syntax-wrong was the symptom). It bundles TWO jobs: (1) bare implicit-read `sl project`->read (high-value shorthand); (2) vertex-first OP `sl project cite`/`sl reading add` (legacy duplication of verb-first). Job 2 is the friction: emit takes the vertex AFTER the verb (sl emit <vertex>) but cite has no vertex slot, so vertex-first was the ONLY way to target a vertex with cite -> two grammars, one asymmetry, easy to mis-document. REMOVING tier-3 deletes the bulk of app.py intricacy: _vertex_first, _identify_op_token (op-past-global-flags), _is_predicate_token, the _peel_observer before/after-op split, VERTEX_OPS + population-op argv reconstruction. CORRECTNESS: one grammar per verb; eliminates the "is arg0 a vertex or unknown command?" class (a vertex named like a verb cannot shadow it). REQUIRED COMPANION: verbs take the vertex UNIFORMLY as a positional — cite gains a vertex arg (sl cite <vertex> REF), consistent with emit — a grammar that cannot be mis-stated, the structural fix vs a doc patch. OPEN DECISION (shapes the work): fate of bare implicit-read sl project->read — (a) keep it as a narrow rule + reserve verb names (verb wins on collision), removing only the op form; or (b) full uniformity sl <verb> <vertex> everywhere, zero arg0 ambiguity but sl project->sl read project. Automation already uses verb-first (low migration risk, grep of hooks/config clean); the human-facing change is the implicit-read shorthand. Design+build deserves its own focused session (touches the live dispatch every agent + hook uses).
emits-silently-unattributed                             mid    1   1  2026-07-04  resolved · Confluence's FIRST live read surfaced 354 unattributed facts ('' observer) including every emit since ~Jul 1: resolve_observer falls flag -> LOOPS_OBSERVER -> .loops/.vertex -> global, and the skill's per-session 'export LOOPS_OBSERVER' convention silently lapsed; project.vertex declares TWO observers so auto-pick correctly refuses and returns ''. Emit succeeds with empty observer — no warning, attribution just drains. FIXED durably: LOOPS_OBSERVER=kyle/loops-claude now set in .claude/settings.local.json env block (applies to all future session shells); historical 354 stay unattributed (append-only, honest history). Residue question for reconcile: should emit WARN on empty observer when the vertex declares observers? (the store accepts it by design — decision:declare-observer-print-not-write — but silence is what let this drain for days). Meta: the observer cut caught this in its first minute of existence — the view's raison d'etre demonstrated on its own build session.
decl-namespace-search-declarable                        mid    1   1  2026-07-13  open · S3 (architecture/internal-table-s3-read-exclusion) flagged, did not fix: no .vertex grammar guard stops declaring loop "_decl.foo" { search ... }, which would let FTS index and surface reserved-namespace payload content -- write-time reservation (S1/S2, emit.py is_internal_kind) blocks _decl.* FACT emits via sl emit but does not block a .vertex file from declaring a LOOP KIND named _decl.* with a search block. Nothing exercises this today (no vertex does it), so nothing currently leaks -- but it's a latent gap one level up from what S3 owns (S3 is read-path exclusion of existing rows; this is write-time/declare-time reservation of the kind vocabulary itself, S1/S2's job). Fix shape: lang/validator.py should reject a loop kind declaration whose name is_internal_kind(), same chokepoint style as emit.py's existing rejection.
boundary-prop-silent-match                              mid    2   0  2026-07-16  open · Refined fix-shape (2026-07-15, ticked store-resident-orchestration design): do NOT simply reject unknown boundary props -- the accidental behavior (props compile to match conditions) is exactly the pre-closure validation gate ticked's stage model needs (boundary when=stage + valid=true ticks only on validated completions). Promote to designed, EXPLICIT match syntax (e.g. a match/when-props block) and reject props outside it; silent absorption stays the bug, the capability becomes the feature.
plan-soft-asks-have-no-hold                             mid    1   1  2026-07-16  open · Dogfooding fix/delta-emits: the plan-stage worker surfaced a genuine judgment question ('update_task signature Task->str: veto if you disagree') as prose in its reply, addressed to a human — but the pipeline walks plan->implement without a hold; only escalation facts stop it. The ask was moot the moment the runner claimed the next stage. Why: DESIGN routes judgment questions through escalation facts, but the plan prompt does not instruct workers to escalate-not-ask, so soft asks evaporate. Fix-shape: stage prompts state the rule — a question that needs a ruling is an escalation fact, prose questions are rhetorical; optionally the runner could scan replies for question-shaped endings and warn.
resolve-defaults-to-kyle-attribution                    mid    1   1  2026-07-16  open · Dogfooding fix/delta-emits: merge-preflight escalation needed resolving, and ticked's CLI _observer() falls back to 'kyle' when LOOPS_OBSERVER is unset — an unattended 'ticked resolve' signs the ruling AS Kyle regardless of who actually ran it, and runner prompts render every resolution as '## Ruling from Kyle'. This is finding D's attribution disease at the resolution boundary: the identity of the decider is assumed, not asserted. Why: escalation resolution was designed with a single human in mind; the observer default papers over 'who decided' exactly where it matters most. Fix-shape: no observer fallback on write commands (require LOOPS_OBSERVER or an explicit --as), and prompts render 'Ruling from <observer>' from the fact's actual signer. Belongs in the D restructuring discussion.
merge-preflight-dirt-check-path-blind                   mid    1   1  2026-07-16  open · Dogfooding fix/delta-emits, escalation 2: squash_merge refuses to ff a checked-out base when the checkout has ANY uncommitted changes — but the dirt here (.serena/ deletions, unrelated WIP) does not intersect the merge paths, and git's own merge --ff-only handles non-overlapping dirt fine. The machinery's is_dirty gate is path-blind and stricter than git, so task completion is hostage to unrelated checkout hygiene — the common case, since main is usually checked out with something in flight. Why: blanket cleanliness is the conservative read of 'never rewrite a working tree', but it conflates 'would be rewritten' with 'exists'. Fix-shape: intersect dirty paths with the squash's changed paths and only block on overlap (or attempt ff-only and surface git's own refusal). Workaround this run: stashed the WIP, will pop after close.
cli-emit-bypassed-engine-gen-id                         tail   1   0  2026-05-17  resolved · Discovered and resolved 2026-05-17. Kyle noticed receipts in this session were still UUID4 despite the ULID engine fix landing yesterday (commits 0a0e64a + 2a82065). Root cause: apps/loops/src/loops/commands/emit.py had its own _new_fact_id() helper returning str(uuid.uuid4()), passed via id_override to the store — bypassing engine.sqlite_store._gen_id() entirely. The docstring even said 'Mirrors sqlite_store._gen_id' — divergence baked in by design. Why pre-generate at all: the receipt needs the id BEFORE vertex.receive() returns (which yields a Tick, not the fact_id), so emit threads a pre-generated id through receive(id_override=). The pattern is sound; the implementation drifted. THIS IS THE SAME BUG CLASS as pattern/exercising-catches-coherence-gaps — feature works in path A (engine.SqliteStore.append() generates ULID when no override), silently broken in path B (CLI emit always provides an override, and that override was uuid4). The existing TestIdGenerationContract in libs/engine/tests/test_sqlite_store.py only exercised the store-direct path; nothing exercised the CLI emit path's id format. FIX: dissolved the duplicate. (1) Renamed engine.sqlite_store._gen_id → gen_id (public). (2) Added gen_id to engine __all__ and lazy imports — single source of truth, accessible as 'from engine import gen_id'. (3) Dropped _new_fact_id() and 'import uuid' from emit.py; emit now uses 'from engine import gen_id' then fact_id = gen_id(). (4) Added test_receipt_id_is_ulid_format to apps/loops/tests/test_emit_receipt.py — locks the format invariant at the emit-path level so a future swap fails fast there, not just at the store layer. Verified end-to-end: 'sl emit ...' now produces receipts like '01KRTA5282726QWX88TKGR635P' (26-char Crockford ULID, no hyphens). 1869/1869 tests pass across loops + engine + store. Discovered via in-session smell — Kyle asked 'why are we still seeing UUIDs?' after reinstalling via 'uv tool install . -e'. Operational note: 'uv tool install . -e' is now the post-change install command; running 'sl ...' afterward exercises the production install path, not 'uv run --package loops sl ...' which used to mask staleness.
trace-diff-renders-phantom-ref-removals                 tail   1   0  2026-05-18  resolved · Smoked during 2026-05-18 read-path walkthrough. 'sl read project <kind>/<key> --diff' rendered '-ref' lines for refs that prior emits cited but later emits didn't re-cite — visually claiming refs were removed when the fold actually unions them. Underlying bug: apps/loops/src/loops/lenses/trace.py:_render_diff reassigned its 'accumulated_refs' accumulator per-fact (line 210) instead of unioning, then computed prior-fact-refs minus this-fact-refs and rendered the result as '-'. Same shape as the 2026-04-29 write-receipt-vs-temporal-query catches at three sites; this is the 4th. Fix: dropped ref handling from --diff entirely (refs are immutable attribution, not state; --refs is canonical); ref-only emits render '(refs only — see --refs)' so the lifecycle event remains visible. Test updated: test_trace_diff_lens_renders_scalar_deltas_only locks the new contract.
helpargs-ordering-in-painted                            tail   1   0  2026-06-09  open · Kyle, mid-session 2026-06-09, watching me navigate sl --help: help output is 'thoroughly useless in our implementation' — was already working in painted to re-order helpargs. Observed instance this session: had to drill three levels (sl --help → sl add --help → sl add project kind --help) to find the fold-strategy syntax, and the middle level gives no hint the third exists — 'sl add project kind --help' is not a discoverable form. Fix site is painted (help rendering), in-progress on Kyle's side; this friction marks the loops-side symptom so it closes when the painted work lands.
test-isolation-not-enforced                             tail   1   0  2026-06-09  open · Tests that skip the conftest isolation fixture (loops_home + chdir) and call main() with a bare vertex name resolve LOCAL-FIRST to the real .loops/project.vertex when pytest runs from repo root — and write to the production store. Hit live 2026-06-09 writing seal-verb tests: leaked decision topic=x and a session status=closed fact into project.db; the session fact fired the real boundary and minted tick #2 (signed, chained — the predicted over-claim window sealed 902 pre-epoch facts as-of-now, earlier than expected but exactly the flagged shape). Append-only means the noise stays; fold pollution to be overwritten by self-describing re-emit. The gap is say/do at the test layer: isolation EXISTS (conftest fixture) but is not ENFORCED — local-first resolution (46b121a) widened the blast radius since cwd now wins over LOOPS_HOME. Candidate fix: autouse fixture chdir-ing every test to tmp, or a guard that fails any test whose resolved store path escapes tmp.
init-registers-ephemeral-instances                      tail   1   0  2026-06-12  open · Second occurrence of /tmp pollution in the config project aggregator: sl init project run in a scratch dir auto-registers the instance with the user-global aggregator (_register_with_aggregator), leaving a dangling combine ref when the dir is deleted (d2-smoke 2026-06-09, keygen-smoke 2026-06-12 — both found and hand-removed). Fix-shape options: (a) skip aggregator registration when the instance path is under /tmp or $TMPDIR; (b) --no-register flag for smoke work; (c) ls/read prune-on-missing with a receipt. Two occurrences = emit friction; a third earns the fix.
check-should-read-rule-from-receipt                     tail   1   0  2026-06-12  open · rebirth --check requires --rule to be re-asserted manually, but the receipt fact already records the transform rule — running --check without it re-runs IDENTITY against a ulid-migration rebirth and reports false mismatches (live scare 2026-06-12, mid fold-determinism validation: rows 6-9 'mismatched' before I realized the rule defaulted). The receipt is the attestation; the verifier asking the operator to restate what the artifact attests is backwards. Fix: --check reads rule from the receipt fact, --rule becomes an override-with-warning. Small, but it is exactly the class of bug the attestation arc exists to prevent — trust the signed claim, not operator memory.
add-verb-gap-boundary-and-preview                       tail   1   0  2026-06-12  open · Extending the signing era today required adding 'boundary when=seal' + a seal kind decl to five vertex files — sl add <v> kind exists and could have done the kind half, but there is NO 'sl add <v> boundary' (or preview) verb, so half the edit had no tool and I hand-rolled a python depth-scanning splice for BOTH halves. Pattern worth naming: a partial verb surface causes total bypass — when the tool covers 50% of a compound edit, the operator does 100% manually and the splice/validate machinery (kdl_splice, parse-before-write) protects nothing. Fix shape: add boundary + preview subcommands to the add verb; they are single-line splices, the library already exists.
stale-git-index-lock-recurring                          tail   1   0  2026-06-16  open · git index.lock blocked 'git add/commit' twice this session; rm -f .git/index.lock cleared it both times. Some background git process (rtk wrapper, IDE indexer, or a crashed prior git) leaves the lock. Low-severity but recurring — interrupts the commit flow at exactly the wrap moment. Fix unclear yet (identify the lock-leaver first); parking as named friction so the next occurrence promotes rather than re-surprises.
cite-verb-first-lacks-vertex-slot                       tail   1   0  2026-07-01  open · Verb-first 'sl cite REF...' has no vertex argument at all (refs are its positionals) — it silently resolves a local/fallback vertex from cwd (doesn't look in .loops/), dropping unresolvable refs with WARN-only, storing an empty attention signal. Only the vertex-first form 'sl project cite' targets correctly — but vertex-first was meant to be stripped (intended grammar: sl <cmd> <vertex-if-required>). Fix: give cite a vertex slot in verb-first grammar; consider ref-drop escalating to failure when ALL refs drop (a cite with zero resolved refs is meaningless). Two orphaned empty cites left in the fallback store 2026-07-01.
breaking-cli-flag-change-broke-consumer-hooks-silently  tail   1   0  2026-07-03  open · 0.5.0 removed the --max-lines/--max-chars flag family from read; gruel.network's SessionStart hook (first out-of-repo consumer) still passed --max-lines, got an argparse usage error on stderr, and its fail-silent design (|| true, never block session start) swallowed it — the session opened with ZERO vertex context and nothing signaled the loss. Two shapes here: (1) CLI breaking changes propagate invisibly into consumer hooks; a removed flag could exit with a deprecation hint ('--max-lines is gone; fidelity is now -q/--limit/--fields') instead of generic usage. (2) fail-silent consumers can't distinguish empty-store from broken-contract; the practice may want a hook smoke-check after upgrades. Found by relay in gruel.network 2026-07-03.
orient-hook-assumes-single-project-vertex               tail   1   0  2026-07-03  open · clients/claude-code/hooks/lib.sh resolves V to .loops/.vertex first — correct in this repo, wrong in a workspace-shaped repo where .vertex is the aggregator/workspace file. In gruel.network the orient block confidently printed 'open: 0 threads · 0 frictions' while the relay vertex had 5 open threads, and its 'deeper' pointers referenced a project vertex that is a near-empty shadow of the global one. A confidently-wrong orient is worse than none. Fix-shape options: (a) detect workspace files and aggregate counts across discovered vertexes; (b) resolve to the repo's emitting vertex (whoami-adjacent) rather than first-file-wins; (c) skip the block when V has no thread/friction/seal kinds declared. Found by relay in gruel.network 2026-07-03, first multi-vertex workspace consumer.
skill-hardcodes-practice-vocabulary                     tail   1   0  2026-07-03  open · The portable loops skill (clients/claude-code skill, symlinked to ~/.config/claude/skills/loops) specifies the practice at the vocabulary level — thread/friction/log/seal kinds, sweep/reconcile cadence, status vocab — as if every store declares them. It predates the semantic reframe (painted -> semantic renderer; loops -> semantic data substrate, in progress). Stores with other shapes (relay identity store, monitor telemetry store, the hypothetical novel/RP store from the reframe conversation) have no landing place for the practice as written: gruel.network accumulated real frictions as observations/practices because no local vertex declares friction/log. The skill should teach the semantic layer — fold-key discipline, refs-as-architecture, capture cadence as a PATTERN to instantiate per store shape — and carry the thread/friction/seal vocabulary as one worked instantiation, not the spec. Found by relay in gruel.network 2026-07-03.
per-section-salience-budget-missing                     tail   1   0  2026-07-03  open · 0.5.0's --limit is global top-N by salience; there is no per-section (per-kind) budget in a single read. The SessionStart-context use case wants 'top-3 of each kind' — census (-q) is too little, full fold (35KB for relay) is too much, global --limit 3 collapses a 7-kind fold to 3 rows from whichever kinds dominate salience. Workaround in gruel.network hook: N reads, one per kind, concatenated. Fix-shape: --limit accepting a per-section mode (e.g. --limit 3 --by kind, mirroring --count --by), or a zoom level between census and full. Found by relay rewriting the broken hook 2026-07-03; companion to friction/breaking-cli-flag-change-broke-consumer-hooks-silently.
fold-key-mistakes-leave-orphan-sediment                 tail   1   0  2026-07-03  open · Fold keys are per-vertex per-kind (topic= vs name= vs agent=) and must be known BEFORE emit; the WARN receipt names the expected key (good) but only after storing an orphaned <no-fold> fact. Hit 3x in one day migrating gruel.network memories: decision name= vs topic=, then 6 relationship facts with name= vs agent= — 7 orphan facts now permanent sediment beside their corrected re-emits. Fix-shapes: (a) interactive emits could default strict (reject, don't store, when fold key missing — strict mode exists but isn't default); (b) an emit preflight that echoes the kind's fold shape; (c) orphan-fact cleanup story (compact that drops <no-fold>? explicit tombstone?). The receipt catches the mistake; the substrate still keeps the wreckage.
vertex-parse-error-opacity                              tail   1   0  2026-07-04  open · Same-line // comments after a declaration (kyle { key "..." }  // comment) fail to parse — maybe fine as a grammar rule, but the error surfaces as a raw 'invalid syntax (vertex.py, line 609)' naming the PARSER's source line, not the offending .vertex file/line. Hit 2026-07-03 editing observer keys in gruel.network; had to bisect three vertex files by hand. Fix-shape: catch at parse boundary and report <file>:<line>: <snippet>.
codex-exec-stdin-hang                                   tail   1   0  2026-07-12  resolved · codex exec hangs indefinitely ('Reading additional input from stdin...') when run backgrounded/detached — it waits on an open stdin that never closes; burned 3.5h on the S1 review believing it was working. Earlier diagnosis (awk-filter buffering) was wrong — that only hid the symptom. FIX, now convention for the internal-table build review pipeline: always invoke codex exec with stdin closed: codex exec ... < /dev/null. Foreground harness calls closed stdin implicitly, which is why inline S0 reviews worked.
seal-provenance-not-passed-to-lenses                    tail   1   0  2026-07-12  open · Refuse-to-guess violation found by the homelab-audit consumer (2026-07-12): loops store verify reports 694/694 facts sealed on the audit store, while ordinary terminal reads render "Live unsealed fold" — because the lens receives projection=None and the render path interprets MISSING cut provenance as a POSITIVE claim of unsealed-ness. Missing metadata should render as "seal status unavailable," or better, loops should pass cut/tick provenance into the lens context so a lens can honestly state which cut it projects. Same errors-as-state discipline as everywhere else: absence of evidence rendered as evidence of absence is a lie wearing the costume of a status line. Note the fix has two layers: (a) substrate — thread cut provenance through the read path into render_context; (b) render honesty — never default a provenance-bearing banner from None.
session-close-emitter-missing                           tail   1   0  2026-07-15  open · Session vertex stalled since Jun 12: launch script emits session status=open then exec's claude (nothing can run after exec); NO close-side emitter exists anywhere — global hooks: git-lock sweeper only; project settings.local.json hooks={}; installed_plugins.json plugins={} despite MEMORY claiming the loops plugin is the canonical lifecycle integration since 2026-06-29. The when session [status=closed] boundary is structurally unfireable; 14 opens, 0 closes since Jun 12; only tick ever = the manual Jun 12 seal. Fix = decide where close-side lives (plugin restore / SessionEnd hook / launch wrapper) and re-wire.
sqlite-probes-in-apps                                   tail   1   0  2026-07-16  open · Three raw sqlite3 probes in apps (store.py genesis/marker probe — imports engine's private _TICK_ROW_SQL constants; resolve.py lock-aware declaration probe; seal.py signed-era probe) predate an engine surface for the questions they ask. Found when the custody extraction greened the architecture ratchet — they accumulated while Rule 2 was red. Now a shrink-only allowlist in tests/test_architecture.py. Fix-shape: engine grows a probe surface (era/genesis/declaration introspection) and the allowlist ratchets to empty. Same family as no-daemon-shaped-store-access: consumer-forced engine needs.
